Occupation,Annual mean wage
Aerospace Engineers," 164,540.00 "
Bioengineers and Biomedical Engineers," 146,330.00 "
Chemical Engineers," 151,340.00 "
Civil Engineers," 138,030.00 "
Computer Hardware Engineers," 203,400.00 "
Electrical Engineers," 189,040.00 "
Environmental Engineers," 132,950.00 "
Industrial Engineers," 145,460.00 "
Materials Engineers," 155,490.00 "
Mechanical Engineers," 159,270.00 "
Software Developers," 226,510.00 "
